lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
étroit,ADJ,m,s,5.94,28.18,17.06
pénible,ADJ,,s,12.07,21.96,17.015
éternel,ADJ,m,s,14.06,19.86,16.96
sincère,ADJ,,s,15.2,18.65,16.925
mort,ADJ,m,p,14.85,18.92,16.885
timide,ADJ,,s,14.18,19.53,16.855
pire,ADJ,,p,15.61,17.91,16.76
gai,ADJ,m,s,10.74,22.64,16.69
principal,ADJ,m,s,17.53,15.81,16.67
dégueulasse,ADJ,,s,18.8,14.53,16.665
insupportable,ADJ,,s,11.01,22.23,16.62
vert,ADJ,m,p,9.32,23.85,16.585
fini,ADJ,m,s,20.66,12.36,16.51
intime,ADJ,,s,9.09,23.85,16.47
excellent,ADJ,f,s,21.04,11.76,16.4
difficile,ADJ,,p,15.43,17.36,16.395
neuf,ADJ,f,s,10.3,22.43,16.365
personnel,ADJ,f,s,15.28,17.3,16.29
vivant,ADJ,m,p,17.16,15.41,16.285
douloureux,ADJ,m,,11.88,20.68,16.28
dur,ADJ,m,p,12.08,20.47,16.275
étroit,ADJ,f,s,2.91,29.59,16.25
lent,ADJ,m,s,9.15,23.31,16.23
chéri,ADJ,m,s,28.45,3.99,16.22
modeste,ADJ,,s,9.06,23.38,16.22
portable,ADJ,,s,31.7,0.61,16.155
violent,ADJ,m,s,12.84,19.39,16.115
catholique,ADJ,,s,10.91,21.28,16.095
nombreux,ADJ,f,p,14.01,17.91,15.96
solitaire,ADJ,,s,11.04,20.88,15.96
brun,ADJ,f,s,6.51,25.34,15.925
connard,ADJ,m,s,29.94,1.89,15.915
las,ADJ,m,,8.09,23.65,15.87
étonnant,ADJ,m,s,15.52,16.15,15.835
visible,ADJ,,s,7.41,24.05,15.73
pareil,ADJ,m,p,10.29,21.15,15.72
net,ADJ,m,s,14.31,17.09,15.7
fantastique,ADJ,,s,24.2,7.09,15.645
chinois,ADJ,m,,14.63,16.62,15.625
humain,ADJ,m,p,17.85,13.38,15.615
sévère,ADJ,,s,8.28,22.91,15.595
raide,ADJ,,s,6.61,24.53,15.57
éternel,ADJ,f,s,12.85,18.18,15.515
tranquille,ADJ,,p,16.41,14.46,15.435
brillant,ADJ,m,s,14.23,16.62,15.425
central,ADJ,m,s,10.09,20.74,15.415
américain,ADJ,m,p,12.03,18.78,15.405
vrai,ADJ,f,p,13.91,16.76,15.335
suivant,ADJ,f,s,11.2,19.46,15.33
généreux,ADJ,m,,16.57,13.99,15.28
ouvert,ADJ,m,p,7.22,23.31,15.265
café,ADJ,,,14.88,15.47,15.175
immobile,ADJ,,p,1.35,28.92,15.135
cruel,ADJ,m,s,15.64,14.59,15.115
lourd,ADJ,m,p,6.58,23.58,15.08
intérieur,ADJ,f,s,6.75,23.38,15.065
chic,ADJ,,s,17.62,12.5,15.06
compliqué,ADJ,m,s,17.17,12.91,15.04
blond,ADJ,m,s,8.73,21.28,15.005
admirable,ADJ,,s,6.02,23.92,14.97
spécial,ADJ,f,s,22.77,7.09,14.93
imbécile,ADJ,,s,18.79,10.88,14.835
élevé,ADJ,m,s,14.37,15.2,14.785
classique,ADJ,,s,13.74,15.81,14.775
nocturne,ADJ,,s,4.09,25.41,14.75
ultime,ADJ,,s,8.01,21.49,14.75
soviétique,ADJ,,s,8.89,20.47,14.68
supérieur,ADJ,f,s,10.7,18.65,14.675
injuste,ADJ,,s,15.94,13.38,14.66
adorable,ADJ,,s,23.0,6.28,14.64
mort,ADJ,f,p,4.38,24.8,14.59
triste,ADJ,,p,10.41,18.72,14.565
courageux,ADJ,m,,20.22,8.38,14.3
malheureux,ADJ,f,s,12.48,16.08,14.28
silencieux,ADJ,f,s,2.88,25.68,14.28
innombrable,ADJ,,p,3.13,25.41,14.27
brusque,ADJ,,s,1.77,26.76,14.265
tragique,ADJ,,s,10.55,17.97,14.26
vague,ADJ,,p,3.58,24.86,14.22
capable,ADJ,,p,11.7,16.62,14.16
rude,ADJ,,s,5.68,22.64,14.16
sexy,ADJ,,,26.83,1.49,14.16
fermé,ADJ,m,p,7.2,21.08,14.14
ami,ADJ,m,s,18.79,9.46,14.125
romantique,ADJ,,s,20.58,7.64,14.11
sauvage,ADJ,,p,8.01,20.2,14.105
privé,ADJ,f,s,18.8,9.39,14.095
allemand,ADJ,m,p,7.9,20.27,14.085
divers,ADJ,m,,2.18,25.88,14.03
lumineux,ADJ,m,,4.79,23.24,14.015
vert,ADJ,f,p,4.29,23.72,14.005
probable,ADJ,,s,10.61,17.36,13.985
nu,ADJ,f,,6.46,21.42,13.94
nerveux,ADJ,f,s,16.99,10.88,13.935
étranger,ADJ,f,s,7.25,20.47,13.86
absent,ADJ,m,s,9.46,18.18,13.82
suivant,ADJ,m,s,10.8,16.82,13.81
intense,ADJ,,s,7.2,20.27,13.735
lourd,ADJ,f,p,4.26,23.18,13.72
sûr,ADJ,m,p,17.43,10.0,13.715
nécessaire,ADJ,,p,7.71,19.66,13.685
sourd,ADJ,f,s,5.58,21.76,13.67
confus,ADJ,m,,7.48,19.86,13.67
inquiet,ADJ,f,s,12.25,15.07,13.66
sinistre,ADJ,,s,7.39,19.86,13.625
grave,ADJ,,p,8.29,18.92,13.605
secret,ADJ,m,p,12.65,14.53,13.59
saint,ADJ,m,s,8.54,18.51,13.525
complet,ADJ,f,s,8.84,18.18,13.51
royal,ADJ,m,s,10.51,16.49,13.5
lisse,ADJ,,s,2.71,24.26,13.485
voisin,ADJ,f,s,3.19,23.72,13.455
anglais,ADJ,f,s,8.21,18.58,13.395
rond,ADJ,f,s,3.18,23.58,13.38
particulier,ADJ,f,s,6.63,20.0,13.315
"mou,mol",ADJ,f,s,3.92,22.7,13.31
communiste,ADJ,,s,10.26,16.35,13.305
italien,ADJ,m,s,13.01,13.51,13.26
supérieur,ADJ,m,s,8.74,17.7,13.22
désert,ADJ,f,s,3.48,22.91,13.195
misérable,ADJ,,s,10.17,16.22,13.195
réel,ADJ,f,s,8.88,17.5,13.19
perdu,ADJ,f,s,10.14,16.15,13.145
minuscule,ADJ,,p,2.19,24.05,13.12
lent,ADJ,f,s,4.67,21.55,13.11
enculé,ADJ,m,s,22.73,3.45,13.09
désagréable,ADJ,,s,9.54,16.55,13.045
familier,ADJ,m,s,7.77,18.31,13.04
légitime,ADJ,,s,12.82,13.24,13.03
bleu,ADJ,f,p,4.77,21.28,13.025
inutile,ADJ,,p,8.66,17.3,12.98
terrible,ADJ,,p,11.1,14.86,12.98
sympathique,ADJ,,s,12.79,13.11,12.95
intelligent,ADJ,f,s,17.42,8.45,12.935
endormi,ADJ,f,s,8.84,16.96,12.9
divin,ADJ,f,s,14.0,11.76,12.88
meilleur,ADJ,f,p,15.25,10.41,12.83
saint,ADJ,f,s,9.71,15.95,12.83
total,ADJ,m,s,9.29,16.35,12.82
prisonnier,ADJ,m,s,11.62,13.99,12.805
immense,ADJ,,p,2.55,22.91,12.73
muet,ADJ,m,s,8.69,16.55,12.62
faux,ADJ,f,p,9.26,15.95,12.605
mystérieux,ADJ,f,s,6.56,18.65,12.605
mis,ADJ,m,,12.66,12.5,12.58
ennuyeux,ADJ,m,,15.62,9.46,12.54
curieux,ADJ,f,s,7.81,17.23,12.52
fichu,ADJ,m,s,17.34,7.7,12.52
